Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),Daily_Return,7-Day_MA,30-Day_MA,Volatility,RSI,Upper_Band,Lower_Band
2024-03-06,22327.5,22497.2,22224.35,22474.05,312262560.0,31029.01,0.005266971726090697,22269.57857142857,21972.798333333336,0.006989323583136918,64.56885687550107,22692.344459587148,21846.812683269993
2024-03-07,22505.3,22525.65,22430.0,22493.55,379865142.0,33558.46,0.000867667376374115,22347.064285714285,22010.83,0.006889444439411475,63.02431915869505,22688.467945694167,22005.660625734403
2024-03-11,22517.5,22526.6,22307.25,22332.65,277897373.0,27222.37,-0.007153161684127163,22397.04285714286,22030.664999999997,0.00635180794093516,54.650636364671314,22525.80358392687,22268.28213035885
2024-03-12,22334.45,22452.55,22256.0,22335.7,299201167.0,29781.12,0.0001365713428544968,22396.60714285714,22057.784999999996,0.006016913482939431,60.340330359362376,22526.305632036005,22266.908653678278
2024-03-13,22432.2,22446.75,21905.65,21997.7,493341697.0,40109.23,-0.015132724741109493,22342.221428571425,22066.85166666667,0.006515166362291117,43.18811863379591,22672.194472203548,22012.248384939303
2024-03-14,21982.55,22204.6,21917.5,22146.65,426742460.0,37348.3,0.006771162439709544,22305.22857142857,22081.825,0.00660703056002672,48.31595995871918,22659.22984664828,21951.227296208865
2024-03-15,22064.85,22120.9,21931.7,22023.35,661460455.0,60260.88,-0.005567433449302883,22257.664285714283,22087.47666666667,0.00658514623434887,47.39880175627431,22665.08385943117,21850.244711997395
2024-03-18,21990.1,22123.7,21916.55,22055.7,356321519.0,23015.51,0.0014688955131714199,22197.899999999998,22096.943333333333,0.006543705435573768,46.03413874427627,22579.082782052603,21816.717217947393
2024-03-19,21946.45,21978.3,21793.1,21817.45,344157465.0,30291.6,-0.010802196257656771,22101.31428571429,22093.21166666667,0.006724867700626751,46.236327692383334,22475.46412073716,21727.164450691416
2024-03-20,21843.9,21930.9,21710.2,21839.1,312414696.0,28939.85,0.0009923249508994036,22030.807142857142,22090.165,0.006728027669351864,45.916407006399645,22387.106143831406,21674.508141882878
2024-03-21,21989.9,22080.95,21941.3,22011.95,353172434.0,31258.4,0.007914703444739102,21984.557142857146,22099.965,0.006631246996511107,39.26094027890401,22219.569152682012,21749.54513303228
2024-03-22,21932.2,22180.7,21883.3,22096.75,388656439.0,39023.19,0.0038524528721899376,21998.707142857143,22110.44,0.006644636314482355,41.080701708932075,22248.852316896653,21748.561968817634
2024-03-26,21947.9,22073.2,21947.55,22004.7,328403719.0,33382.08,-0.004165770984420725,21978.428571428572,22123.395000000004,0.0065270667901609365,37.72285520858012,22193.105373910414,21763.75176894673
2024-03-27,22053.95,22193.6,22052.85,22123.65,409136866.0,38830.73,0.00540566333556014,21992.757142857143,22136.075,0.006514308475333963,43.28133565714951,22233.261289935574,21752.252995778712
2024-03-28,22163.6,22516.0,22163.6,22326.9,407422815.0,45656.57,0.009187001240753778,22031.5,22152.303333333333,0.0066664704209412175,46.08094777504896,22381.686569321773,21681.313430678227
2024-04-01,22455.0,22529.95,22427.75,22462.0,243637071.0,21420.69,0.00605099677966936,22123.578571428574,22170.678333333333,0.006722135691623115,49.38445498854533,22543.18914826202,21703.96799459513
2024-04-02,22458.8,22497.6,22388.15,22453.3,289524237.0,27940.93,-0.0003873208084765878,22211.321428571428,22184.431666666667,0.006656127281899074,53.67720796180971,22609.656341499183,21812.98651564367
2024-04-03,22385.7,22521.1,22346.5,22434.65,309647491.0,30793.28,-0.0008306128720498851,22271.70714285714,22194.845000000005,0.0066356679244796105,53.0288974342004,22656.941008747188,21886.47327696709
2024-04-04,22592.1,22619.0,22303.8,22514.65,400986156.0,40705.56,0.0035659125504521327,22331.407142857148,22205.435,0.006638596856331449,67.5141289120071,22719.62554972188,21943.188735992415
2024-04-05,22486.4,22537.6,22427.6,22513.7,242244731.0,24797.82,-4.2194748752555356e-05,22404.12142857143,22220.723333333335,0.0065114202303527095,63.814926200344914,22681.67245005006,22126.5704070928
2024-04-08,22578.35,22697.3,22550.35,22666.3,227633561.0,22480.2,0.006778095115418603,22481.64285714286,22235.685,0.00649163443478891,73.58886415856612,22687.487834642736,22275.79787964298
2024-04-09,22765.1,22768.4,22612.25,22642.75,232356772.0,21651.69,-0.0010389873953843276,22526.764285714282,22250.020000000004,0.006497330033482782,71.69990981305504,22711.726964060406,22341.801607368157
2024-04-10,22720.25,22775.7,22673.7,22753.8,276847931.0,25355.05,0.004904439610913025,22568.45,22271.07833333333,0.006478330008616093,88.27050059252296,22808.593984587067,22328.306015412934
2024-04-12,22677.4,22726.45,22503.75,22519.4,357187778.0,36456.91,-0.010301576000492085,22577.89285714286,22281.780000000002,0.006775718436145703,73.9755166255563,22801.53827164669,22354.24744263903
2024-04-15,22339.05,22427.45,22259.55,22272.5,355465814.0,29474.59,-0.010963880032327733,22554.72857142857,22292.491666666665,0.006765592576455815,58.9027311556404,22864.584558714865,22244.87258414228
2024-04-16,22125.3,22213.75,22079.45,22147.9,317267066.0,28661.04,-0.005594342799416285,22502.335714285717,22297.995000000003,0.0068534463271588235,51.854624313631376,22941.049146624307,22063.622281947126
2024-04-18,22212.35,22326.5,21961.7,21995.85,456906707.0,43314.67,-0.006865210697176827,22428.35714285714,22286.565000000002,0.006275005169209868,49.90821493702423,23009.616145450014,21847.09814026427
2024-04-19,21861.5,22179.55,21777.65,22147.0,362530569.0,36073.63,0.006871750807538657,22354.17142857143,22278.85166666667,0.0064062467059036385,50.90898647259196,22926.19324592094,21782.14961122192
2024-04-22,22336.9,22375.65,22198.15,22336.4,279259571.0,26841.2,0.008551948345148386,22310.407142857144,22276.545000000002,0.0066041139747135295,50.48044268112722,22823.20631221613,21797.607973498158
2024-04-23,22447.05,22447.55,22349.45,22368.0,231520813.0,25651.64,0.0014147311115488836,22255.292857142857,22276.935,0.006597105764624799,47.10968298387801,22601.60784107406,21908.977873211654
2024-04-24,22421.55,22476.45,22384.0,22402.4,235898642.0,21925.6,0.0015379113018598733,22238.578571428574,22274.54666666667,0.006529984779408361,48.54752424519386,22532.78196964797,21944.375173209177
2024-04-25,22316.9,22625.95,22305.25,22570.35,475044740.0,53803.8,0.007496964610934409,22281.12857142857,22277.10666666667,0.00667394386475117,54.15891788568111,22669.356648110097,21892.900494747042
2024-04-26,22620.4,22620.4,22385.55,22419.95,329887340.0,36984.89,-0.006663609558557937,22319.992857142857,22280.016666666666,0.006656083236709864,47.52361371386492,22700.369921946454,21939.61579233926
2024-04-29,22475.55,22655.8,22441.9,22643.4,291957361.0,32431.45,0.009966569952207793,22412.5,22290.273333333334,0.006893059614521606,53.42597143572861,22735.662141965957,22089.337858034043
2024-04-30,22679.65,22783.35,22568.4,22604.85,361859375.0,38741.7,-0.0017024828426828176,22477.907142857144,22310.511666666665,0.006250322258676767,48.57777018865036,22727.189134642744,22228.625151071545
2024-05-02,22567.85,22710.5,22567.85,22648.2,445909456.0,43133.31,0.001917730044658672,22522.450000000004,22327.23,0.00615593382040307,50.33682752177701,22765.07342563465,22279.826574365357
2024-05-03,22766.35,22794.7,22348.05,22475.85,438060727.0,44432.55,-0.007609876281558847,22537.85714285714,22342.313333333335,0.006239115317762136,43.171984132747525,22745.95053077531,22329.763754938973
2024-05-06,22561.6,22588.8,22409.45,22442.7,320255789.0,33417.53,-0.0014749164102803025,22543.614285714284,22355.213333333333,0.006249697303121098,48.01816345193505,22735.844215002908,22351.38435642566
2024-05-07,22489.75,22499.05,22232.05,22302.5,297815469.0,31512.26,-0.006247020189192987,22505.350000000002,22371.381666666664,0.00601404386718978,51.08242304600103,22766.88486701909,22243.815132980915
2024-05-08,22231.2,22368.65,22185.2,22302.5,277438692.0,29717.33,0.0,22488.571428571428,22386.82833333333,0.006015397931054923,55.26523283689747,22787.998714442027,22189.14414270083
2024-05-09,22224.8,22307.75,21932.4,21957.5,331327454.0,37870.88,-0.01546911781190452,22390.585714285717,22385.013333333332,0.006542570908560285,49.083897489210464,22856.30495987721,21924.866468694225
2024-05-10,21990.95,22131.3,21950.3,22055.2,265804411.0,28717.71,0.0044495047250370234,22312.06428571429,22383.628333333338,0.006555782998675353,47.42849635209764,22794.251464841138,21829.87710658744
2024-05-13,22027.95,22131.65,21821.05,22104.05,278186886.0,29036.08,0.0022148971671078765,22234.32857142857,22386.94,0.006520790233447968,42.54113940228496,22631.602238049574,21837.054904807566
2024-05-14,22112.9,22270.05,22081.25,22217.85,230238941.0,23741.66,0.005148377785971325,22197.471428571433,22390.08,0.006513833330420118,45.52492425875338,22533.298119277366,21861.6447378655
2024-05-15,22255.6,22297.55,22151.75,22200.55,231935478.0,23815.79,-0.000778653200017021,22162.87857142857,22385.868333333336,0.0062879145052277255,43.84898342521463,22421.93469698922,21903.822445867918
2024-05-16,22319.2,22432.25,22054.55,22403.85,368945092.0,38836.11,0.009157430784372478,22177.35714285714,22383.93,0.00641812275102916,45.12970628849829,22480.420169462595,21874.294116251687
2024-05-17,22415.25,22502.15,22345.65,22466.1,242654570.0,27388.67,0.002778540295529597,22200.72857142857,22384.356666666667,0.006438659156365424,51.70570994061762,22567.388208590655,21834.06893426649
